Name,bpm,axis,mean,std,length,amp_fit_pos,z_fit_pos,tune_fit_pos,phase_fit_pos,amp_fit_ang,z_fit_ang,tune_fit_ang,phase_fit_ang,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat,PS_radius_mean,PS_radius_std
bi5-b4,162,y,0.5850185557110059,0.1803528580958765,36.29908000000023,0.7374942835203621,0.018949082043553216,0.30261677947955573,0.20741239434742798,-0.09879432233443487,0.017371252337193513,0.30268250411227676,0.4772438777813342,0.9967684085796267,-3.3628836773616864,-23.75020120335743,0.4261476320440575,2.713185101500771,0.9969661118828399,-3.367996620795345,-23.786311115843624,0.4267955488161113,2.7173102403042346,0.6972600878983211,4.3810143395654775,3.217709685578852,25.15483455761574,21.00462457,-0.197585535213198,0.14694844761255227,0.005223358447594427
bi5-b3,164,y,1.7087187522543945,0.6820090296720801,36.29908000000023,2.7586600139707875,0.021045259891892508,0.30259856980481903,0.09435211154506545,0.09456950901858663,0.018416587256453763,0.30257598055869905,0.02548845552470846,0.9947219066412882,11.48278121817932,-345.5076865160862,0.4060527281201145,-12.131120490367794,0.9953361740605253,11.50965209205476,-346.31620958127104,0.40700293272967547,-12.159508543964806,0.6973299260052304,4.381453145332691,-12.513583918339723,366.1859427563843,539.1846718,0.32085246130250944,0.14396881320136762,0.006749899416585531
g5-bx,166,y,-0.5434101569602636,0.27396088118602946,16.31947115000048,1.151814352716394,0.015642749500285266,0.30270718080750114,-0.229585374724827,-0.1307097981916765,0.02215177547336409,0.3026795446178863,-0.09879178020175136,0.9963904425351359,-8.281613720184305,-70.59893478497547,0.9092354394928001,7.630808522524998,0.9956449406983443,-8.299706296793678,-70.7531700197129,0.9112218170758172,7.647479305834869,0.6971304182676942,4.3801996012475355,8.434713317843284,74.84489367785822,82.11920155,0.08858230151827111,0.1330714158147487,0.005161582534798028
g6-bx,0,y,4.121194326826172,0.2373318204656046,16.31947115000048,-0.970034454774189,0.02072551275211478,0.302576097072191,-1.0758039041310954,0.1264984042103844,0.019325604127833223,0.3025978059408759,1.9179839370436558,0.9983388809961942,6.4892602008800955,-52.748506773495556,0.8969900596072559,-7.13768124979607,0.99661537408179,6.500270015988412,-52.83800099761947,0.898511911776003,-7.149791189670524,0.6973581365268148,4.381630397267418,-7.216174251771849,55.86615569988,75.89979205,0.2639485011621979,0.12979618205681323,0.0033861005302792996
bo6-b3,2,y,-0.2682880842683789,1.1251333223508404,36.2991257,4.6724229974426015,0.02240050693779907,0.30263117031026465,0.03320488250532865,-0.09586033583534878,0.016679585671066786,0.3026333465162369,0.0730655591153681,0.9998140504983826,-23.441654877661936,-1127.713698636585,0.4746685392899565,22.79234526594978,0.9999224921953749,-23.442563386077822,-1127.7574044837731,0.47468693561756015,22.793228609621547,0.6973738193643197,4.381728935441605,24.4419596134117,1192.3490328307694,1510.086873,0.21041030542699818,0.13530288125226836,0.001192514445815711
bo6-b4,4,y,0.3702011726129102,0.29135104008968865,36.2991257,1.2037147906918666,0.005757419351218155,0.3026269046430309,-0.08238614353700272,-0.09586033583534878,0.016679585671066786,0.3026333465162369,0.0730655591153681,0.9998907380170516,-6.242075380617069,-75.24864663403015,0.47722528449419094,5.592782787187021,0.9999850526888672,-6.242122032261472,-75.2492090228016,0.47722885115157887,5.592824586187818,0.6973769601537656,4.381748669603704,6.256350661450828,79.55852338354568,96.02554322,0.17148582850218763,0.13494506372798978,0.0009052688579260041
bo7-b4,24,y,0.15816796908838868,0.27656384182410526,36.29913299999998,1.1509085299754538,0.022803001790103843,0.30266620802925637,0.3151197063392264,0.09433367867997751,0.020561156394889618,0.30267973533620707,0.13758559622852487,0.9995854002550233,5.1435654935923285,-67.70904052381702,0.45486803986032154,-5.793488319886536,0.9994919341931504,5.144872626571893,-67.72624740491801,0.45498363535861786,-5.794960617587242,0.6973104431560004,4.381330730980668,-5.783993877969064,71.6150222083158,95.15734481,0.24740415622872813,0.13599341099116857,0.0017692748249657068
bo7-b3,26,y,-0.3431298829600391,1.0859878690028189,36.29913299999998,4.561819511856086,0.023323079163172847,0.3026772955423476,0.18213289459520013,0.09433367867997751,0.020561156394889618,0.30267973533620707,0.13758559622852487,0.9997922564310151,21.447121893772014,-1053.859089673267,0.4506481039789117,-22.097132133753924,0.9997142467927554,21.450186842585527,-1054.0096937581648,0.45071250485183273,-22.10028997373128,0.697309169161752,4.381322726238725,-23.025614624532167,1114.5329646496023,1470.956668,0.24230741197496497,0.13664224875876896,0.0012709971391612058
g7-bx,28,y,-0.623692382832461,0.25833070272181696,16.652648999999997,1.0849321988710166,0.018255294690391582,0.30269855108364596,0.07590692268392095,-0.13070461627926666,0.01627318703088727,0.30268192919622683,0.2109020755000399,0.9988729242919392,-7.711668508281988,-61.811665424371,0.8971468983361888,7.061435428796066,0.9986946969553535,-7.716706473063482,-61.8520464383058,0.8977329964643422,7.066048602061859,0.6972624871334998,4.3810294144047015,7.81659307653001,65.41030755118217,83.22493683,0.21405398378621793,0.13412237672349278,0.002892700705474916
g8-bx,29,y,-1.0026884764802637,0.26634849558680235,16.652648999999997,1.1369957268632653,0.023373374518789104,0.3027296864452169,0.2303118678450369,0.1337561780282644,0.018103554316553357,0.3027498756649435,0.09748423396862953,0.9982322848457965,7.287873916373143,-65.21442742870903,0.902471411562477,-7.938680595715595,0.9980531318924681,7.294978556555616,-65.27800221703599,0.9033511927891685,-7.946419679816573,0.6971965674874543,4.380615229053213,-8.060256468499485,69.04319819751996,82.64290272,0.16455986025269223,0.13679535235752247,0.0036951845207101
