Name,bpm,axis,mean,std,length,amp_fit_pos,z_fit_pos,tune_fit_pos,phase_fit_pos,amp_fit_ang,z_fit_ang,tune_fit_ang,phase_fit_ang,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat,PS_radius_mean,PS_radius_std
bi5-b4,163,x,0.7864140619384765,0.16651583677540183,36.29908000000023,0.3825927522187335,9.99999880070433,0.3049125862451201,0.3428736824220027,0.03980355100383271,3.8379111835135546,0.3048004264785021,0.1913813443296626,0.9806358167893893,4.111065137319963,-43.6945797616357,0.473045974171113,-4.78840453261421,0.9841021119251866,4.144138639798938,-44.046102479907766,0.4768516271288807,-4.826927227801423,0.6945504311776026,4.363989064270359,-4.7722488052207215,46.861535303963755,70.79118234,0.33803146444292387,0.055620618705131526,0.004926537811346651
bi5-b3,165,x,0.5036738274996777,0.6513499109767812,36.29908000000023,1.9079371881691995,5.265993803946328,0.30485304131344626,-0.09040168835775168,0.042292703030049277,3.4115713513069563,0.3048401118664188,-0.12987503702504674,0.9947864894166438,20.19848415246532,-927.419825796933,0.4557154927084121,-20.874986686395726,0.9964950925104362,20.23397438143052,-929.0493709507153,0.45651621849838364,-20.911665580294567,0.6949817851225003,4.366699341039134,-21.866392112583092,987.4658824631036,1477.33283,0.33158875074677413,0.06062541102996375,0.002829097027864614
g5-bx,167,x,-1.1007080065986328,0.154205841126294,16.31947115000048,0.45231859627769744,9.999999999947715,0.3048142852821989,-0.20036630255657867,-0.05334806347902952,8.349098712562245,0.3048622348233089,-0.075250582568117,0.9931355127205439,-6.620637191543448,-53.86037249115584,0.7491374816358581,5.944105600958038,0.9950571958292346,-6.6370603556077015,-53.9939786242806,0.7509957933680435,5.9588505595889805,0.6949379194156153,4.366423724674146,6.694621360049835,57.39469658777574,80.89815159,0.29053142179739955,0.05959582474180519,0.003171492029975243
g6-bx,0,x,-2.8596572271679688,0.1489857814961574,16.31947115000048,0.4310336430580906,9.999999992139958,0.30491514204566467,1.8174241860079465,0.05407879210183654,9.999999999996973,0.3048732379866352,1.6822584147376276,0.9951113178117642,5.6599630773902865,-48.38952325683607,0.7617679128766545,-6.336584627442914,0.9967511083705769,5.6691798450224375,-48.46832147258247,0.7630083870187314,-6.346903215619911,0.6949790639928132,4.366682243677065,-6.385852840398229,51.51621652130616,74.81639007,0.31143140596457053,0.05996480035231684,0.002721852854675005
bo6-b3,2,x,-1.0807304697908107,0.3895163538000015,36.2991257,1.112204670780036,3.9063316763897067,0.3048642109260927,0.1261786570999695,-0.03710530801101291,3.8729274869552577,0.30486731629330094,0.20130704385741455,0.9998935966009866,-12.602106657378831,-368.6899090547948,0.4103560864965679,11.926100783639592,1.000154128425708,-12.601135598198402,-368.66149954115923,0.41032446638289394,11.92518181429839,0.6951287132247913,4.367622517532661,13.029911560103372,391.71202540083107,534.5534083,0.26721629809346203,0.05619084573349397,0.0003734409830528144
bo6-b4,4,x,-0.004161132802841796,0.08306822793435968,36.2991257,0.2637318428983294,9.999999999984016,0.3049480144338057,0.06287297068966302,0.038572996236020146,9.999999998445487,0.304899739163758,-0.27336537310187436,0.9987747315386349,2.1668417717161947,-18.296028102730702,0.3914251500477414,-2.843749404825992,0.9995705467190319,2.1673072002855314,-18.299958013209423,0.3915092265363744,-2.844360230329874,0.6950357588622169,4.367038468047495,-2.6630697338993414,19.44824352026984,19.2559119,-0.009988185512514739,0.059775766269763796,0.0012951925089439735
bo7-b4,23,x,0.02338671881046875,0.08793915941826325,36.29913299999998,0.2432628339059275,5.920389950620291,0.3048361657869385,0.21987515915844327,-0.0367672136128014,5.839741823127541,0.30478465431261803,0.6222036672655286,0.9987445992571065,-2.7030617101472685,-16.8417625596872,0.38477724020834525,2.0282539445776924,0.9978313419175573,-2.7059974943578005,-16.860054328763223,0.3851951451870348,2.0304568228483166,0.6951636417594618,4.367841979988504,2.51610210500829,17.912816358452048,18.49617565,0.03153945456546059,0.05747396745569046,0.00125386248000172
bo7-b3,25,x,-1.7430869156533204,0.38838131112759344,36.29913299999998,1.12248457797182,6.396249310919312,0.3047871928668628,0.016337125398352234,0.03705274800207965,6.21553725609163,0.304788572256988,-0.06717302431921798,0.9999819714317681,10.99626544559953,-344.52905055956404,0.3754089326476248,-11.671180636754015,0.9998827913769996,10.996909930820014,-344.5492432224469,0.375430935163836,-11.671864678391897,0.695213176744405,4.36815321747809,-12.040775789263767,366.0224478403088,529.7048166,0.30900675929343846,0.05867257075779899,0.00016054503048571693
g7-bx,27,x,-2.905208008369141,0.1556661970082126,16.652648999999997,0.43469825903561826,9.999998356834077,0.304742531514448,0.2099185933082445,-0.0510146063549182,7.497841560388658,0.3047612404796469,0.3496204032717817,0.9989675500903651,-6.624607919665676,-54.17099033787081,0.7460396123797299,5.949619308426315,0.999809444294445,-6.625239188304068,-54.176152371265935,0.746110703592373,5.950186256406531,0.6952048764637243,4.368101065276472,6.679704226424928,57.55362720042176,78.28517569,0.26482087198312887,0.05727696442443941,0.0011778307922179945
g8-bx,28,x,5.494323237714844,0.15128440577094793,16.652648999999997,0.4291534338876016,5.250425875519692,0.30478245847949026,-0.1953909631263774,0.051539730366019484,7.927569325471625,0.3047641897159916,-0.3407162621415899,0.9990721203604387,5.724870559531542,-51.0833149619649,0.736813528023689,-6.399999064440974,0.9997112952231144,5.725697137252345,-51.09069055755492,0.73691991185199,-6.400923119681143,0.6951902467855625,4.368009144297597,-6.441524161661633,54.2775993128508,79.37992211,0.31623012633300246,0.058230521900745756,0.0011408627291547991
