Name,bpm,axis,mean,std,length,amp_fit_pos,b_fit_pos,tune_fit_pos,phase_fit_pos,amp_fit_ang,b_fit_ang,tune_fit_ang,phase_fit_ang,amp_fit_pos_next,b_fit_pos_next,tune_fit_pos_next,phase_fit_pos_next,amp_fit_ang_next,b_fit_ang_next,tune_fit_ang_next,phase_fit_ang_next,PS_area,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat,PS_radius_mean,PS_radius_std
bi5-b4,162,y,0.27050097685103514,0.0686202897718003,36.29908000000023,-0.30871488152426574,-0.006573250198,0.22901187175581356,-0.0832239981021211,0.05820688254646947,-0.006573250198,0.22903738061758558,-0.28641931058723236,0.3105190939789379,-0.006573250198,0.22900462317015488,-1.782438723246422,0.05852299095162989,-0.006573250198,0.22901167182594473,1.1641631130524193,0.01117834905339636,0.9979127645131884,5.362766332814478,28.236120215115935,-1.0030642022582368,-5.090355161544175,1.0242561160454344,5.298886183832876,27.899777466977323,-0.9911159116369782,-5.029719917360778,0.22851523554936778,1.43580357047047,5.211717662546901,28.155931513153465,21.48144505,-0.31070937954211153,0.05795480890584726,0.0016504459116253867
bi5-b3,164,y,2.2194931631748043,0.36238308078348846,36.29908000000023,1.810992782526004,-0.006573250198,0.22903926532524957,-0.32005546140207947,0.05820688254646947,-0.006573250198,0.22903738061758558,-0.28641931058723236,1.8205421365737493,-0.006573250198,0.22901154289168318,1.1315089304587553,0.05852299095162989,-0.006573250198,0.22901167182594473,1.1641631130524193,0.011015980585288077,0.9995724914336745,-30.47560856656364,952.9191194728646,-0.9845828837271077,30.752817003724076,1.0170412846319064,-30.219209222756007,944.9019592445154,-0.9762993278873456,30.49408543212087,0.22805659055120042,1.4329218189567734,-30.647480979904678,953.9546482672982,662.1839248,-0.44061885609111096,0.05853798650487686,0.0007212671861749961
g5-bx,166,y,0.9944677729287109,0.13708748254215491,16.474290150000343,0.685165297211368,-0.006573250198,0.22908435330547694,-0.29028514555265084,-0.05902309283979291,-0.006573250198,0.22901658032832997,-1.0621424751630006,0.688877142363533,-0.006573250198,0.2290578717541546,1.1610763988974133,-0.058870022596038254,-0.006573250198,0.22897155581013268,0.3980066693000372,0.09501992920347689,0.9986029738343583,1.0790743950627584,15.922908691266201,-0.1170943919816731,-0.7979989158908409,1.0033831143578675,1.0772536974441556,15.89604233055181,-0.11689682128440862,-0.7966524705183459,0.22759655049942762,1.4300313020627604,0.9463131119012089,16.054841530399237,100.7330716,0.8406199545453031,0.17132745654476964,0.0027584734367939756
g6-bx,0,y,5.993702144853515,0.14039846131415454,16.474290150000343,0.6931010051459661,-0.006573250198,0.2290708426197926,1.2803764736075713,-0.05902309283979291,-0.006573250198,0.22901658032832997,-1.0621424751630006,-0.6891771222908324,-0.006573250198,0.22910715824282396,-0.43573821579347205,-0.058870022596038254,-0.006573250198,0.22897155581013268,0.3980066693000372,0.09146902296391307,0.9985839890026733,-0.9001364480324534,16.679740555697194,-0.12110324368456202,1.1604042494671463,0.9754485257147472,-0.9113940081324501,16.888345797900808,-0.12261782188774832,1.1749168498703653,0.22896836121420222,1.4386506429900636,-1.0523302147091411,17.03688258287653,92.52663006,0.8158704951014777,0.16850271395949495,0.0023974021496763814
bo6-b3,2,y,2.4329609369183594,0.6003842100268231,36.2991257,3.053229889571949,-0.006573250198,0.22904742974076173,1.3471391363051703,0.06891450861633579,-0.006573250198,0.22901763249755167,-1.8100984376703708,-3.0347233105465183,-0.006573250198,0.22907313453413553,-0.36499741628748467,0.06849187707443322,-0.006573250198,0.22904263516041107,-0.3803084997342533,0.03192506270681809,0.9148099277482493,27.19539108704345,1200.1055596000062,-0.6114425503562159,-26.94888355226908,0.9101764953510086,28.505751880676993,1257.9304781124192,-0.6409038051321327,-28.24736682563201,0.2293807386837369,1.4412416870476559,28.61637807194619,1268.5616216501364,1797.479291,0.2942552228546725,0.08419734484976768,0.015184337810445595
bo6-b4,4,y,0.38545898426499997,0.11414482619475273,36.2991257,0.556416500610374,-0.006573250198,0.22918126465301916,1.4176777050937206,0.06891450861633579,-0.006573250198,0.22901763249755167,-1.8100984376703708,-0.5531319954992673,-0.006573250198,0.2292094908507653,-0.2958517215622487,0.06849187707443322,-0.006573250198,0.22904263516041107,-0.3803084997342533,0.03163074341953293,0.9140020121566945,4.988438223052638,40.00465048471173,-0.614062964825682,-4.742376666856907,0.9083212503952816,5.234134289380732,41.9750036933577,-0.6443074718616159,-4.975953437780584,0.2293971259011899,1.4413446509715822,5.148119070667573,42.32917929397579,66.69759845,0.3653567702934919,0.0840327846601616,0.015051188167880472
bo7-b4,24,y,0.5919999990832032,0.09594915452042238,36.29913299999998,0.46801179066297915,-0.006573250198,0.2290437136046707,0.031462992860993425,0.05888839045595861,-0.006573250198,0.2289798210645676,0.19860859859635008,0.4702869582545787,-0.006573250198,0.22904940262692253,1.4685803941540527,0.05937597806541843,-0.006573250198,0.22900744461527106,1.625663293362751,0.013815993590446555,0.9719005164620487,-7.328674672870961,59.80008778921177,-0.9503690088456553,7.616998742670652,1.0096443924160048,-7.293587955213808,59.513789257786975,-0.9458190280412252,7.580531646475443,0.22708667456587517,1.4268276570885792,-7.514804974509187,60.135931610435165,62.79285429,0.04231250051628822,0.059666905471098715,0.006103076142773029
bo7-b3,26,y,2.481199215568457,0.5146462467335203,36.29913299999998,2.601472860685032,-0.006573250198,0.22899068016161628,0.16886714312470724,0.05888839045595861,-0.006573250198,0.2289798210645676,0.19860859859635008,2.6216021846938102,-0.006573250198,0.22901363321456641,1.5980245637069108,0.05937597806541843,-0.006573250198,0.22900744461527106,1.625663293362751,0.013741879557777387,0.974778421705365,-41.7312798327855,1849.7687818119882,-0.948447055672152,42.016122042718706,1.0212083306820225,-41.29567122243547,1830.4601190596672,-0.9385467673136977,41.577540129854704,0.2274946592974593,1.429391100759622,-41.85435698531314,1848.9142636171039,1770.202631,-0.04446475857548522,0.059805577622641395,0.0057842900449110385
g7-bx,28,y,2.7608476556249997,0.12300009977886203,16.652648999999997,0.6178785881445135,-0.006573250198,0.22892253760857334,0.2527330145346764,-0.07279921558367809,-0.006573250198,0.22897943931102646,0.15198031915545676,0.6214944798474802,-0.006573250198,0.2289468630647253,1.6800554190582913,0.07326942350565019,-0.006573250198,0.22899615549335836,-1.5581568036729079,0.013478245174770913,0.9214009467401902,13.850994147808517,116.73361830522865,-1.6211463549109728,-13.594661516860905,0.9427026996121798,14.265715884989854,120.22881644439379,-1.6696861655093511,-14.001708229934339,0.22892944104162327,1.4384061003335626,14.258485115386469,121.29020194718353,98.44238123,-0.23209333654579192,0.05513321659097064,0.009470032962304524
g8-bx,29,y,2.516574215146484,0.12009884332866927,16.652648999999997,-0.5987548668279821,-0.006573250198,0.22903367357043303,0.04967595290435688,-0.07279921558367809,-0.006573250198,0.22897943931102646,0.15198031915545676,0.602795889282497,-0.006573250198,0.22904156145182078,-1.6558480390110215,0.07326942350565019,-0.006573250198,0.22899615549335836,-1.5581568036729079,0.013285769543051494,0.9341506609640957,-13.164169028135596,109.64196509752895,-1.6205094823555262,13.424067925073334,0.9591448938004506,-13.441611547595091,111.95273328731241,-1.654662662296607,13.706987964960973,0.22881955176298355,1.437715645632597,-13.695396815567177,112.95146965116834,98.73952675,-0.14393367447619798,0.055468227498426614,0.008725789330851792
