Name,bpm,axis,mean,std,length,amp_fit_pos,b_fit_pos,tune_fit_pos,phase_fit_pos,amp_fit_ang,b_fit_ang,tune_fit_ang,phase_fit_ang,amp_fit_pos_next,b_fit_pos_next,tune_fit_pos_next,phase_fit_pos_next,amp_fit_ang_next,b_fit_ang_next,tune_fit_ang_next,phase_fit_ang_next,PS_area,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat,PS_radius_mean,PS_radius_std
bi5-b4,162,y,0.5850185557110059,0.1803528580958765,36.29908000000023,-0.7968544835701675,-0.005181699010220582,0.30289376335922136,0.6205590200325019,0.1082110006799406,-0.005734628804894886,0.3029354430447931,0.8976394350456675,0.8068894113139483,-0.005467126017259243,0.30291970689933906,-0.6296794923192656,-0.10866208487658602,-0.005895981714166336,0.30296358826125713,-0.3524447134221488,0.08068884899594649,0.9989777110018572,-3.503221057074531,-24.418403508349023,0.44634254614661745,2.8203377367977067,1.0187058471403467,-3.470908325912039,-24.193174984334206,0.4422256073451415,2.7943237303756634,0.6950753729689222,4.367287370820703,3.328883384901575,25.708946615166937,21.09061822,-0.21897548696734873,0.15775389339094079,0.0030821833279758826
bi5-b3,164,y,1.7087187522543945,0.6820090296720801,36.29908000000023,3.1700615507919427,-0.005851440435643499,0.3029543083195606,0.9662359618939614,0.1082110006799406,-0.005734628804894886,0.3029354430447931,0.8976394350456675,-3.1767689677622877,-0.0059803302065940265,0.30298091442101244,-0.282991194273965,-0.10866208487658602,-0.005895981714166336,0.30296358826125713,-0.3524447134221488,0.08660954671409225,0.9971342085186701,12.130673581895817,-365.9827171922406,0.4273815507575148,-12.81112069660245,1.0067378353147047,12.090011706249449,-364.7559474143941,0.4259489728092969,-12.768177970204032,0.6949416017567509,4.366446861505865,-13.211809836633826,387.72624046593256,538.7473703,0.28031901065237996,0.16107748642821432,0.005450218621631128
g5-bx,166,y,-0.5434101569602636,0.27396088118602946,16.474290150000343,1.2570752547683157,-0.005709685826915692,0.30290788417262,0.8716269552298795,-0.09642819422062644,-0.005576272362370064,0.30296247373537105,0.11254859809980435,-1.2645526218822811,-0.00590136515417405,0.30293871942191275,-0.3798334193337969,0.09937127039162809,-0.006114297476378516,0.3029672292423403,-1.1290996902843329,0.25949531328248027,0.99978871919936,0.7178275072493262,18.41978124444841,-0.1110251911589302,-1.4049295894755653,1.0365626286964977,0.7050539060898043,18.0920048125256,-0.1090495194325035,-1.3799291401309313,0.304780101475389,1.9149898555108673,1.1074455379057186,19.21925460038401,82.15070042,0.7660488041839632,0.2856645698660633,0.0031970363080074376
g6-bx,0,y,4.121194326826172,0.2373318204656046,16.474290150000343,-1.0972683608773481,-0.005961752567461038,0.30299137915794133,-0.7972583019431513,-0.09642819422062644,-0.005576272362370064,0.30296247373537105,0.11254859809980435,1.1150013255281093,-0.006265581145279871,0.30292528707112415,-2.0093695972801995,0.09937127039162809,-0.006114297476378516,0.3029672292423403,-1.1290996902843329,0.2606584056975783,0.9999025603858136,-1.0962445398289296,13.95412106333845,-0.10942032507037386,0.44003241703833385,1.044481328295844,-1.0726476926451065,13.653756272132696,-0.1070650342609959,0.43056064561915564,0.30201679027862993,1.8976274592002262,-0.7936146014367949,14.416924209635143,75.69991741,0.8095516520638811,0.28778450536291467,0.0014593138830324547
bo6-b3,2,y,-0.2682880842683789,1.1251333223508404,36.2991257,-5.186597303294974,-0.005680877531935366,0.30297936453104407,-0.9118771508534498,0.10646339448540931,-0.005709145055884375,0.302974094618232,-0.8692851782184985,-5.247337731076098,-0.0059116231809546406,0.30291222137782015,1.0181420601597926,0.10787706300175566,-0.005963743481209174,0.30290689292525874,1.0605586324322414,0.07253424015793247,0.9987983459187066,-23.81493260386519,-1144.9851036894017,0.4831899138034776,23.188245213053484,1.0187566071794816,-23.59468249649715,-1134.395819385424,0.4787211784866664,22.973790963578825,0.6997608430753893,4.396727047750886,24.494482329513232,1193.3583511785835,1507.94492,0.20861940290326816,0.14977708216746907,0.0027662227696522725
bo6-b4,4,y,0.3702011726129102,0.29135104008968865,36.2991257,-1.335758259131323,-0.005615889287354513,0.30299688132533426,-1.035505294596322,0.10646339448540931,-0.005709145055884375,0.302974094618232,-0.8692851782184985,-1.3454131857371632,-0.005780105756223253,0.3029317280818086,0.894267726567779,0.10787706300175566,-0.005963743481209174,0.30290689292525874,1.0605586324322414,0.0725043859834452,0.9985987939300824,-6.304125862012535,-75.89020178609894,0.485007733058274,5.677690022892216,1.0144622198054638,-6.259028604603313,-75.34731288449746,0.48153817691965184,5.637074043126482,0.6996718449195221,4.396167855845575,6.2583572903485996,79.2781331605037,96.02399009,0.174392429577244,0.14947766426962902,0.0030237826562168
bo7-b4,24,y,0.15816796908838868,0.27656384182410526,36.29913299999998,-1.267640405430821,-0.00558850121517255,0.3030358201117144,-0.6387826859871689,-0.10436225545109816,-0.005791779649701621,0.30304267724428285,-0.8161470861187765,1.2949172458440061,-0.005967133941407927,0.30297300177628905,-1.8528815105256826,0.10610508873766578,-0.0060988963456342585,0.30297193284728713,-2.02617450997842,0.07261216938990488,0.9996399472507163,5.129706583742262,-67.39284387093164,0.45446848815863966,-5.769576372842149,1.0316899615613737,5.0503086632533245,-66.34973320332615,0.44743419637245657,-5.680274507593634,0.6990006032657358,4.391950320148938,-5.6530467059788725,69.90824911485873,94.62107812,0.26117678530147437,0.1516886813512772,0.0011058883476370667
bo7-b3,26,y,-0.3431298829600391,1.0859878690028189,36.29913299999998,-5.041129048196633,-0.005740052436657048,0.30304215252934047,-0.771799876567988,-0.10436225545109816,-0.005791779649701621,0.30304267724428285,-0.8161470861187765,5.13197243173873,-0.00606633335105068,0.302972974536123,-1.9826773494360637,0.10610508873766578,-0.0060988963456342585,0.30297193284728713,-2.02617450997842,0.07275199524577655,0.9997310970554014,21.429379508334677,-1052.2696550766561,0.450357604149643,-22.06639072654574,1.0285795213484177,21.12957002227605,-1037.5477904346621,0.44405683926794476,-21.757669082957253,0.6991570990290419,4.392933612029579,-22.586339244138383,1092.8381898989576,1467.448984,0.2552802844838404,0.1523847716589529,0.0008857825427329612
g7-bx,28,y,-0.623692382832461,0.25833070272181696,16.652648999999997,-1.2019927108158182,-0.005801701033772597,0.30304985647302757,-0.8742406981772128,0.1443580861684457,-0.005686537060037344,0.3030386543042211,-0.7408103763431955,1.2172905725877208,-0.0060514097995715685,0.3029820310547103,-2.0855771837173482,0.14703456560613384,-0.006021107022525118,0.3029732248180754,1.1885069567189392,0.07149036483307357,0.9992897898175209,-7.6874817643664155,-61.760520438698165,0.895867669354187,7.063290432097481,1.0303371103449954,-7.573461594005912,-60.844492891860256,0.882580225245544,6.958528222175043,0.700259368451401,4.399859375068699,7.635886041134503,63.941912956138,83.18304179,0.2313107145376729,0.14956686029521798,0.002085298803548527
g8-bx,29,y,-1.0026884764802637,0.26634849558680235,16.652648999999997,1.2228414351868295,-0.005590370980113176,0.3030232331614839,-0.6096149462921459,0.1443580861684457,-0.005686537060037344,0.3030386543042211,-0.7408103763431955,1.2521251903909139,-0.006003965978887772,0.302963879411936,1.317245240455019,0.14703456560613384,-0.006021107022525118,0.3029732248180754,1.1885069567189392,0.07126993556019769,0.9989426923767791,7.326582898692761,-65.4198522113416,0.9068914613096171,-7.955752399851428,1.0402258916174112,7.183525508300193,-64.14247727863022,0.8891836802583163,-7.800409971782372,0.7000961744531398,4.398833996936604,-7.875976108416963,67.43016469240509,82.54807074,0.1831406344457338,0.14863616289246012,0.0026499469694022527
bi8-b3,31,y,-0.5256376959907813,0.6951757425508713,36.29913299999998,3.130177463561268,-0.005307768104866722,0.303012198056111,-0.7181649744246982,-0.1050498558599841,-0.005321916911419362,0.30301642883242297,-0.6492830934208159,3.190374462464023,-0.005644208524835139,0.3029496491085408,1.2100931256318799,0.10720581800830889,-0.005679964494153224,0.3029584538512909,-1.8646563743577969,0.07346727746904606,0.9997812555293841,-13.97352585270059,-407.4286519583995,0.45953279949235154,13.324599307369642,1.0351961294322245,-13.733925366587593,-400.44257671191986,0.4516533077088262,13.096125799325884,0.6983433291339577,4.387820544981361,14.15402953793227,422.50206859292433,569.4414387,0.25804123149612945,0.1521468020577407,0.0013227153846146562
bi8-b4,33,y,0.04728320305703125,0.1610749894662085,36.29913299999998,-0.7235047515209201,-0.0053427148624003405,0.3030369624331164,-0.3468035270644295,-0.1050498558599841,-0.005321916911419362,0.30301642883242297,-0.6492830934208159,0.7399974082780595,-0.005749277185528339,0.3030030532850923,-1.572426257357068,0.10720581800830889,-0.005679964494153224,0.3029584538512909,-1.8646563743577969,0.07369565096283186,0.9997680414582623,2.6822551925532707,-21.81276782005987,0.45856572664374345,-3.341631852634354,1.0394783371871168,2.6308275018860963,-21.39454502039512,0.44977350716892395,-3.2775617336844607,0.6975925652383559,4.383103356303355,-3.121924406414971,22.60925934303835,18.31358793,-0.23456197821299066,0.15229985325422432,0.0013370096848484342
bi9-b4,53,y,0.3661728515304785,0.24856886161910297,36.27380999999991,1.1031137899021681,-0.005174500268986529,0.30292933482200923,0.3367576835149915,-0.048401700133486054,-0.005509001059351606,0.30292814268980117,0.7536893239967467,-1.1282090450816413,-0.005603089449095452,0.30294796940568325,-0.9107314091026535,0.048891291789751844,-0.005772230356288803,0.3029592635662262,-0.4980343524444699,0.0677084260114569,0.9999714199159377,-2.518708055980763,-54.504249158157435,0.10361514231716858,1.8316677534571912,1.0340292069000847,-2.4769168540830755,-53.599897391210206,0.10189592705442616,1.8012761418877408,0.6951551836005231,4.367788835808534,2.2727075977919733,56.9478254751949,33.76432262,-0.686627216429402,0.14696764296651346,0.0008588775847535356
bi9-b3,54,y,4.183354490175781,0.19133725991855097,36.27380999999991,0.8719721986131813,-0.005799628278585842,0.30299176877468265,-1.8512301793929353,-0.048401700133486054,-0.005509001059351606,0.30292814268980117,0.7536893239967467,0.8683205502578875,-0.005844047658887973,0.30299879624524745,0.05020701663630291,0.048891291789751844,-0.005772230356288803,0.3029592635662262,-0.4980343524444699,0.07211596371951327,0.9993766369471131,1.1721358299161195,-31.865949208009763,0.09968544729089386,-1.849076507170896,1.0092025738382007,1.1667794378779814,-31.72032912519247,0.09922990764902027,-1.8406266514219876,0.6953067944234984,4.368741434703862,-1.5970812089828355,33.69012370417053,51.74939767,0.3489755394061086,0.14980046135159478,0.0023129967230647113
g9-bx,56,y,4.255669921464843,0.17140495229805935,16.65271000000007,-0.77366455089182,-0.0055298844652708476,0.30290670213448184,0.6948005562556605,0.0347000419957348,-0.006259037912073007,0.30293844530140485,1.7229244661210659,0.7830424012621701,-0.005801155252031697,0.30294141053222046,-0.5584222702127871,-0.03451772522892145,-0.006262792084048738,0.3029096421724329,0.4963157518534503,0.07287194656963751,0.9999783795116599,-0.890376674700588,-24.747836077442425,0.04888534625200077,0.2261767944724297,1.008423993476729,-0.8866499400822526,-24.644252257179268,0.04868073317375733,0.2252301154838904,0.6963559168542821,4.375333265346395,0.5890864752646938,26.113600338525174,22.27671744,-0.17223735538503,0.15216207829247513,0.0007901908807919954
g10-bx,59,y,4.581100591005859,0.15068906732031634,16.65271000000007,-0.6882012100361754,-0.005583974008831774,0.30301392613713934,-0.11325494217985824,0.0347000419957348,-0.006259037912073007,0.30293844530140485,1.7229244661210659,0.7071964098740432,-0.0060667334301345065,0.30300145374518744,-1.3469194727814509,-0.03451772522892145,-0.006262792084048738,0.3029096421724329,0.4963157518534503,0.07346033755553193,0.9996833036874668,-0.10058269295528424,-19.819339556302985,0.048755571350043166,-0.5526023151186467,1.0218854528360206,-0.09949978691300672,-19.60595808948332,0.04823065298428488,-0.5466528185558078,0.6976414749022364,4.383410664784828,-0.23624568204934648,20.71694750257636,14.24987549,-0.45383358030845217,0.1523434413436177,0.0013424130787495806
bo10-b3,61,y,4.772775389208984,0.26781733590658696,36.27368000000001,-1.2493258343191058,-0.005971501529258343,0.30304716723229874,-0.9457506791409089,0.0394807763911459,-0.005661101625256619,0.3030274036019192,-0.4718141874851339,-1.261810562821154,-0.006181531728510623,0.30297800333172953,0.9850613907443018,0.04050874290906982,-0.006114276619360795,0.3029744345699874,1.4511293906738816,0.07004357382124114,0.9996747976383509,-2.224989715819346,-67.10131051018178,0.06811136611041078,1.5901927394827615,1.0321994351276098,-2.190010511882293,-66.04640656698993,0.06704058301929434,1.565193218928526,0.6994320921655264,4.3946614448643135,1.9765316051297637,69.5263529452869,101.9930311,0.3183225148283008,0.14896054161745126,0.0012569355195116707
bo10-b4,63,y,0.8923408216904297,0.14317469306901898,36.27368000000001,0.6511856270039518,-0.005761565907008087,0.3029219684573219,0.5896425111493688,0.0394807763911459,-0.005661101625256619,0.3030274036019192,-0.4718141874851339,-0.6617085848939064,-0.006127643512920911,0.30295160908690416,-0.662051907625581,0.04050874290906982,-0.006114276619360795,0.3029744345699874,1.4511293906738816,0.07013910400513604,0.9996190457701539,0.25783734594833646,-18.579807956505874,0.06890168338964738,-0.9275797189025122,1.0410153523822911,0.25270699003890157,-18.21011353851832,0.06753070217182597,-0.9091230671911771,0.6967776478719311,4.377983079480069,-0.6149816515947389,19.27800994638579,14.79391436,-0.30310406544666446,0.14808995899151528,0.0017752172053622174
bo11-b4,83,y,-0.10071386727047851,0.11869239203155857,36.27368000000001,0.5299509155716009,-0.005511207367849161,0.30296649569878675,1.2118524410295204,0.047862726711644314,-0.005318170101457356,0.3029567422664641,0.21827020349505857,-0.5279245401502229,-0.005576585046612925,0.3029678570127582,-0.025719661949544156,-0.049339608433370395,-0.005849460751504605,0.3029740737511874,-1.0280618776797534,0.06675698651478226,0.9999921829806848,0.2816922880441103,-12.406485000401208,0.10482413677292957,-0.964733661966354,1.0287410479608798,0.27772944280214945,-12.231950651609951,0.10334947151127993,-0.9511617952012825,0.6953418567478872,4.368961737785297,-0.6525505308399975,12.990516400596933,19.96765478,0.34942202558467245,0.1459694761600595,0.001137011734318022
bo11-b3,84,y,-0.8827666016465234,0.46162996701984543,36.27368000000001,2.073014573656265,-0.005359360968252154,0.30295236271998705,0.4343121677345405,0.047862726711644314,-0.005318170101457356,0.3029567422664641,0.21827020349505857,-2.1215864378384675,-0.005799071037837773,0.3029816344020092,-0.8170149354448746,-0.049339608433370395,-0.005849460751504605,0.3029740737511874,-1.0280618776797534,0.06633048732086635,0.9999699326904968,4.113829365811411,-197.0681544545033,0.10579699529842855,-4.812273958927573,1.0523446817272868,4.010211413352814,-192.1044583836181,0.10313221096872342,-4.691063784670491,0.6947143285477828,4.365018861818561,-4.627002715658447,204.30749066137406,127.6371135,-0.6006903091033476,0.14529262525635925,0.0010181244183127972
g11-bx,86,y,-1.4832871093671876,0.1780543361610977,16.652829999999994,0.7996939001545758,-0.005304827458501848,0.30301669268750003,0.030728139793718256,-0.05415126663554931,-0.005133364638308261,0.30296162476694305,0.5810166992592974,-0.8231726740540495,-0.005809723389568177,0.3030173822882671,-1.2082427262763098,0.05493097187151649,-0.005426622030518794,0.3029917877152369,-0.6701213231204067,0.07012115753482422,0.9995886608658692,-1.9970829650122979,-28.432987042352508,0.1285418041912666,1.3083513349075238,1.0419412897759812,-1.956475811443839,-27.854852487370863,0.12592813371577416,1.281748322158997,0.6952323880504111,4.368273925673719,1.719944922054367,29.589559038289178,16.70953199,-0.770819138201918,0.14790893388928658,0.002104026361232199
