Name,bpm,axis,mean,std,length,amp_fit_pos,b_fit_pos,tune_fit_pos,phase_fit_pos,amp_fit_ang,b_fit_ang,tune_fit_ang,phase_fit_ang,amp_fit_pos_next,b_fit_pos_next,tune_fit_pos_next,phase_fit_pos_next,amp_fit_ang_next,b_fit_ang_next,tune_fit_ang_next,phase_fit_ang_next,PS_area,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat,PS_radius_mean,PS_radius_std
bi5-b4,162,y,0.5850185557110059,0.1803528580958765,36.29908000000023,-0.8062968509531878,-0.005563836587820189,0.3026752306861464,0.6697247990959591,0.10940482076001631,-0.006090166781490192,0.30273362946878196,0.9417610567757951,0.8109501471111766,-0.005686145721102151,0.30269437325267773,-0.5801479073237605,-0.109291264266237,-0.00613688979469701,0.30274761336530787,-0.30553950639954414,0.0874818921520671,0.9970958409619081,-3.3880925539815103,-23.624159106356412,0.43194622779815284,2.716181603792548,1.0016917438229447,-3.3852302928045743,-23.60420141264807,0.43158131955003026,2.713886973102809,0.6955183711091091,4.370070810226233,3.237395377755941,25.05809585792854,21.09061822,-0.1881157582268605,0.16159510747721156,0.005408505596535169
bi5-b3,164,y,1.7087187522543945,0.6820090296720801,36.29908000000023,3.203657248660743,-0.0061937082596386075,0.3027557990960516,1.0093582832596066,0.10940482076001631,-0.006090166781490192,0.30273362946878196,0.9417610567757951,-3.1955422662208277,-0.006223485591891153,0.30276730230884435,-0.23668577203145896,-0.109291264266237,-0.00613688979469701,0.30274761336530787,-0.30553950639954414,0.09504707388903677,0.9941521788652455,11.615927065606096,-350.7214533894155,0.4096451112162605,-12.283141991287991,0.9912472723507169,11.667098753587275,-352.2664879509951,0.4114497223932919,-12.33725296373614,0.6956188146363592,4.370701915520852,-12.738584379657079,373.8802391943593,538.7473703,0.30601937047754835,0.1656957795528879,0.008150885661216375
g5-bx,166,y,-0.5434101569602636,0.27396088118602946,16.474290150000343,1.2673276450349331,-0.005974182373011273,0.30272516197466787,0.9117584470177242,-0.0975798964438276,-0.005990130914944226,0.302748509581891,0.160156033217763,-1.267425252676472,-0.006028046442221605,0.30274093401114566,-0.33668743389055605,0.09997019813457456,-0.0063528809807006145,0.30276214151630143,-1.0856856425419246,0.2637597809863783,0.9999193929804189,0.711513034514112,18.217449464859165,-0.11057923895689292,-1.3936503077827125,1.022871338017779,0.7035133706291739,18.012627535406754,-0.10933597748254553,-1.3779812567680452,0.3047456673839587,1.9147734997335264,1.1055069407646576,19.133448147978978,82.15070042,0.7670933047416739,0.2888139708955678,0.002417128441144003
g6-bx,0,y,4.121194326826172,0.2373318204656046,16.474290150000343,-1.1008336936743088,-0.006145525232099324,0.3027473840504057,-0.7447589982355869,-0.0975798964438276,-0.005990130914944226,0.302748509581891,0.160156033217763,1.119056165870211,-0.006413881740550929,0.3026996746787149,-1.9615500157008452,0.09997019813457456,-0.0063528809807006145,0.30276214151630143,-1.0856856425419246,0.26538379041890864,0.9998972930344311,-1.0844321130668155,13.783172959636477,-0.10914723220465697,0.4266940584991737,1.0416744400510773,-1.062518170594289,13.504645926282434,-0.10694161127297493,0.41807152792427577,0.3022150981860756,1.8988734645305863,-0.7820040649392079,14.265515990668174,75.69991741,0.8115517628189156,0.29070508001405265,0.0005554621329070952
bo6-b3,2,y,-0.2682880842683789,1.1251333223508404,36.2991257,-5.229431451414329,-0.005988015918929819,0.30277371192104335,-0.8673081372202806,0.10732590991120375,-0.00601128443805432,0.3027723615673033,-0.8256091544405478,5.293166667996126,-0.006198187485282165,0.3027241141377423,-2.0827321361700375,0.10878248543041762,-0.006239403519710312,0.3027240013643291,1.099999620950121,0.07293570022658744,0.9996523929855711,-23.624561139330122,-1136.0157763675,0.47914677628502267,22.99690408839941,1.0265304037119882,-23.317277494973222,-1121.2396683267882,0.4729145349015581,22.697784352141323,0.6998778933989979,4.397462496624384,24.19758884085117,1179.2354675678991,1507.94492,0.2179850524196207,0.15177161754327487,0.0012597084565091525
bo6-b4,4,y,0.3702011726129102,0.29135104008968865,36.2991257,-1.3469389052602807,-0.005927473890563564,0.3027794739301769,-0.988259994435578,0.10732590991120375,-0.00601128443805432,0.3027723615673033,-0.8256091544405478,-1.3578089577240526,-0.006084535887687024,0.3027275884664403,0.938903775699062,0.10878248543041762,-0.006239403519710312,0.3027240013643291,1.099999620950121,0.07287594147623881,0.9995489169878418,-6.261454546107741,-75.4215726967758,0.48141916718326944,5.63562030318701,1.0222103478068307,-6.193057264373554,-74.5977017385839,0.47616036315177795,5.57405935009128,0.6999193390983277,4.397722907633459,6.187358981684017,78.44959389589671,96.02399009,0.18302089069233018,0.15140540444270945,0.001488971812367854
bo7-b4,24,y,0.15816796908838868,0.27656384182410526,36.29913299999998,-1.279983819787605,-0.005951736194036873,0.3028133787312091,-0.59014565124586,-0.10542654805295498,-0.006166473060337336,0.3028301810634299,-0.7702663114723955,1.3065942184400925,-0.006267482609342366,0.30277599325494325,-1.8106983895470166,0.10720469675007104,-0.006439158408856549,0.302779391178125,-1.9849314093775074,0.07485049798441532,0.998971234920035,5.215341547783326,-68.37307189930547,0.4621618962426497,-5.8594278060197516,1.0405112779463408,5.11280653118004,-67.02883892852475,0.4530756691431441,-5.744229880462729,0.6988783825550711,4.3911823847754565,-5.7211241112502105,70.64180168574484,94.62107812,0.25342425716016737,0.15199258029513066,0.002605952003185056
bo7-b3,26,y,-0.3431298829600391,1.0859878690028189,36.29913299999998,-5.091678106167116,-0.006110328184915198,0.30282712022848685,-0.7252212226797426,-0.10542654805295498,-0.006166473060337336,0.3028301810634299,-0.7702663114723955,5.183424173195308,-0.006396129696660535,0.30277950411407045,-1.941242090894082,0.10720469675007104,-0.006439158408856549,0.302779391178125,-1.9849314093775074,0.07503112532873753,0.9992901147381275,21.729491159533158,-1066.4766605000239,0.4567350236122893,-22.36861067183051,1.0387148708536396,21.32069619952248,-1046.4131311435087,0.44814250875116024,-21.947792014000427,0.6992411818915256,4.393461920235723,-22.783143762766656,1101.9835351972545,1467.448984,0.24904814599179662,0.15291677302597442,0.0019793194534088714
g7-bx,28,y,-0.623692382832461,0.25833070272181696,16.652648999999997,-1.214076908594784,-0.0061638691291574415,0.30284239693249226,-0.8295336818397191,0.14580201015237595,-0.006049858015703664,0.30282741408381886,-0.6948974650960157,1.230220923668182,-0.006394403952639841,0.3027924790831927,-2.0447979026588015,0.14848301328842556,-0.0063403317719148995,0.30278230833436637,1.229462628249401,0.07342806323615751,0.9985741401301018,-7.798356462412074,-62.69803877445649,0.9086093502345203,7.17262181502407,1.0333625882069009,-7.671436874153524,-61.67761744539464,0.8938215773011495,7.0558861654182845,0.7002077387641359,4.399534976176261,7.73933622221616,64.82424776213949,83.18304179,0.220703566890572,0.14999941924693885,0.003187219152724395
g8-bx,29,y,-1.0026884764802637,0.26634849558680235,16.652648999999997,1.2352298018969248,-0.005958982820428725,0.30280893383932045,-0.5626722590754432,0.14580201015237595,-0.006049858015703664,0.30282741408381886,-0.6948974650960157,1.2634984389955985,-0.006301651199115874,0.3027708681474276,1.3585187379615273,0.14848301328842556,-0.0063403317719148995,0.30278230833436637,1.229462628249401,0.07315502202921753,0.9979833970807814,7.452064409884579,-66.46661442856066,0.9221018018337106,-8.08464353124177,1.0417006005919032,7.301383207793174,-65.12265538443901,0.9034568465154693,-7.921171540292235,0.6998531872902357,4.397307263564812,-8.005373434345472,68.49457059160096,82.54807074,0.17024625799751353,0.14885876293168926,0.003924564487694862
