Name,bpm,axis,mean,std,length,amp_fit_pos,b_fit_pos,tune_fit_pos,phase_fit_pos,amp_fit_ang,b_fit_ang,tune_fit_ang,phase_fit_ang,amp_fit_pos_next,b_fit_pos_next,tune_fit_pos_next,phase_fit_pos_next,amp_fit_ang_next,b_fit_ang_next,tune_fit_ang_next,phase_fit_ang_next,PS_area,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat
bi5-b4,163,x,-0.4647944426115894,0.06648310236567871,36.29908000000023,0.29582202603887797,-0.006363650145801895,0.23597901850985303,-0.7748528112983573,0.033695915912907055,-0.006325941927485431,0.23597406268652485,-0.6198388228745421,0.29637147771963923,-0.00644071122598665,0.2359658881335886,0.7162708009329649,0.03382019152656083,-0.006420640247257105,0.23596292896106488,0.8700831584546972,0.004794444396960851,0.9998494369712947,-6.430128883495205,57.889794003296416,-0.7524647192031299,6.617950506457314,1.0057528883045768,-6.411712399864786,57.72399228097534,-0.7503095906769751,6.598996084333376,0.235074570483989,1.4770170873565518,-6.534065259073226,57.9787538912608,67.80573273,0.14492843662452376
bi5-b3,165,x,-0.5364284817600005,0.33857998421283,36.29908000000023,1.5161121084199938,-0.0063326808578205475,0.23597516858854256,-0.649970384823466,0.033695915912907055,-0.006325941927485431,0.23597406268652485,-0.6198388228745421,1.5212007671471544,-0.006424164907142435,0.23596357623395078,0.8402300560309818,0.03382019152656083,-0.006420640247257105,0.23596292896106488,0.8700831584546972,0.004789891699789167,0.9998072819023904,-33.84688245260472,1527.5268059431764,-0.7547857811832033,34.03410391674194,1.0071988524053128,-33.72570694937167,1522.05809461736,-0.7520835663781589,33.91225814039985,0.23513311670795367,1.4773849441307574,-33.96706781010195,1528.7228242944493,1829.361467,0.16434075393452607
g5-bx,167,x,-4.628353090804419,0.0798378620900118,16.474290150000343,0.3570110966978087,-0.006400520385173555,0.2359730929467808,-0.5859619600118545,-0.028273276776455022,-0.006472851635116016,0.2359613924999876,-1.3844593493047797,0.35861813509694435,-0.00650446248237563,0.2359619664422052,0.9039530587357567,-0.028181161077693133,-0.006526019864386244,0.23594307053046978,0.10916999825336883,0.02296382306840048,0.9999216924139827,1.0486658552833676,17.51430141824719,-0.10898055436802719,-0.8647596570293152,1.001874352576105,1.04768444991917,17.497910468474732,-0.10887856372905372,-0.8639503622841164,0.23535826145106534,1.4787995702726653,0.9598764528370611,17.572218423017407,100.3380643,0.8248698682239038
g6-bx,0,x,2.923123869712992,0.07628602301055948,16.474290150000343,0.33498463749902485,-0.006377645921662337,0.23594702996778583,0.8905432086056637,-0.028273276776455022,-0.006472851635116016,0.2359613924999876,-1.3844593493047797,-0.33309280160977395,-0.006400194673367049,0.23593755599313823,-0.7658553119054495,-0.028181161077693133,-0.006526019864386244,0.23594307053046978,0.10916999825336883,0.022948655452252206,0.9999383126907648,-0.7350276444274125,15.277080325811728,-0.10912004825234657,0.9163763865832503,0.9934737654683595,-0.7374379298278199,15.32717656906097,-0.10947787215351325,0.9193813465226552,0.23550135774018327,1.479698670773963,-0.8318589602245394,15.390995681800485,92.50155563,0.8336136557166299
bo6-b3,2,x,0.4939878376613785,0.20127592941321762,36.2991257,0.8871333157202473,-0.006425242489611298,0.23595855202228594,0.9776185640562173,0.029538169291764747,-0.006428018961025374,0.23595654382393372,-2.2189585973971377,-0.8819162463029274,-0.006448321307342056,0.23594906702538515,-0.6783738506278861,0.02937225407758923,-0.006452244590454592,0.23594770589836264,-0.7338868413250743,0.00468737554505865,0.999813313701557,17.672553665779187,528.8868789533078,-0.5864909410922872,-17.49587343563028,0.9906011478314464,17.75619458591179,531.390002499475,-0.589266693985169,-17.57867816098886,0.23585507779197537,1.481921159406238,17.737442489292835,533.4956022755938,667.6941266,0.2009880257712697
bo6-b4,4,x,-0.01805659010665545,0.04371863187897881,36.2991257,0.19269033058772425,-0.006422466964332095,0.2359466150579964,-2.474567383318611,0.029538169291764747,-0.006428018961025374,0.23595654382393372,-2.2189585973971377,0.19196727622631224,-0.006456903719306117,0.2359404777493826,-0.9914792391267652,0.02937225407758923,-0.006452244590454592,0.23594770589836264,-0.7338868413250743,0.0046909487969623714,0.9997965210059877,-3.6105686155756365,24.99948856885084,-0.5863841285998542,3.78546594720243,0.9916187755882245,-3.6257948867124017,25.104914896877872,-0.5888569922074979,3.8014297847659786,0.23600539192451933,1.4828656109552996,-3.7280152062228415,25.202281774481925,21.36609832,-0.17954534314255305
bo7-b4,23,x,0.031097248309613107,0.046278337439904206,36.29913299999998,-0.2062631909078456,-0.006325722123809201,0.23595465111507635,0.20419875584815,0.036219866219936114,-0.006305922992876541,0.23595709202119627,0.030827906204397425,0.20654095192345484,-0.006395534016038526,0.23595116023313972,-1.4549930501171084,0.0363190464949094,-0.006386019258200366,0.23595285098410265,1.5142449342878608,0.004030201807153981,0.9999731431034289,5.836374287334439,33.20997615590351,-1.0255212089752606,-5.663899423051546,1.000897938695345,5.833755697545806,33.19507592844015,-1.0250610912320108,-5.661358217079674,0.2362639981966924,1.4844904820849618,5.769029505468864,33.31909085716786,19.87322377,-0.6765820806317957
bo7-b3,25,x,0.13704046854222784,0.2489849330374349,36.29913299999998,1.1121627657905913,-0.006303109251947925,0.23595767322070726,-0.0011806801114490196,0.036219866219936114,-0.006305922992876541,0.23595709202119627,0.030827906204397425,1.115435659935083,-0.0063847495410583625,0.2359532282589383,1.4824775809893782,0.0363190464949094,-0.006386019258200366,0.23595285098410265,1.5142449342878608,0.004027418003758008,0.9999556578425287,-31.463599725643498,969.3686988282028,-1.0279042065775588,31.637070515379694,1.002040062259854,-31.43155489622225,968.3814229007465,-1.0268573138110482,31.604849010628378,0.23619237837166465,1.4840404814526449,-31.63718715392167,972.0371853053107,661.517763,-0.46940451137260053
g7-bx,27,x,10.953859437636158,0.10390581451248362,16.652648999999997,0.44980228222820384,-0.006160060607225295,0.23594509363230826,0.03403938526386965,-0.0540832177021538,-0.006175573331486983,0.23595038735768997,-0.02413675953822756,0.450178102748953,-0.006217006616394051,0.23593894103169108,1.5179716022733678,0.054162410845354704,-0.006238302526609495,0.2359442528622954,-1.6815007689566008,0.00436174830964839,0.9988049879487919,18.217440528547353,150.98440627738398,-2.184249846724087,-18.04820523318299,0.9955607865750166,18.258011208339376,151.32065219464496,-2.1891142238564485,-18.088399021887213,0.23648645953189432,1.4858882478777182,18.23891126387517,151.86775972030517,99.54348468,-0.5256423884346698
g8-bx,28,x,-7.5921269839606556,0.1028967427765409,16.652648999999997,-0.4523283133553157,-0.006194089813786461,0.23595545877899635,-0.08202772871154837,-0.0540832177021538,-0.006175573331486983,0.23595038735768997,-0.02413675953822756,0.45325410191254356,-0.006262453295327462,0.23594923759383193,-1.7390263565263837,0.054162410845354704,-0.006238302526609495,0.2359442528622954,-1.6815007689566008,0.004366878057586161,0.9988968679691044,-18.10997349625643,152.44709836491097,-2.1780527530352694,18.279487132162046,0.996794797317739,-18.13906651955673,152.69199916422525,-2.1815517167143956,18.3088524730425,0.23647258154357995,1.4858010499054481,-18.289984961623507,153.24520278049212,99.62958574,-0.5381495530896918
bi8-b3,30,x,0.3527726361018736,0.42467994325876707,36.29913299999998,-1.8983309286572991,-0.006307491581798071,0.23596233026054927,-0.02519266385809151,0.04240587539884523,-0.006306099552559774,0.2359629863060273,-0.03775308788172112,1.9042966751332924,-0.006390897950472247,0.2359576633493858,-1.6828984330049226,0.042543428249821914,-0.006390378905485405,0.23595824949275776,1.4462323583605947,0.0031367057619361587,0.9996258107127326,82.28524195887007,3679.80174208072,-1.8364491476706926,-82.11396228956143,1.0015176431719561,82.2228731223221,3677.012603373496,-1.8350571945817415,-82.05172327597374,0.2363636499902811,1.4851166127702724,82.43970863399781,3690.5505088648433,1814.716854,-1.033678422465813
