Name,bpm,axis,mean,std,length,PS_area,LR_corr,m00,m01,m10,m11,det,m00_mod,m01_mod,m10_mod,m11_mod,tune,phi,alpha,beta,bet_model,beat,PS_radius_mean,PS_radius_std
bi5-b4,162,y,0.5850185557110059,0.1803528580958765,36.29908000000023,0.9609299394371056,-3.3331978017613415,-24.11102263903666,0.4116869020270177,2.6906285330223403,0.9577951033418829,-3.4058442251499335,-24.636517873085417,0.4206595411462408,2.749270279242165,0.6967643481618736,4.377899514937246,3.258129174687849,26.082035545477112,21.09061822,-0.23666529228355224,0.08668995183508181,0.03291682868733226
bi5-b3,164,y,1.7087187522543945,0.6820090296720801,36.29908000000023,0.9641682508426035,11.610657989869637,-347.89988549549525,0.41168690202701796,-12.25322725860864,0.9577951033419008,11.863710111680748,-355.4822985059629,0.4206595411462372,-12.52028405758851,0.6967643481618742,4.3778995149372495,-12.90734766049017,376.3397892990976,538.7473703,0.30145405797612734,0.0866899518350818,0.03291682868733227
g5-bx,166,y,-0.5434101569602636,0.27396088118602946,16.31947115000048,0.9301160706266318,-7.8018462439078125,-66.64426080832904,0.8546744180361346,7.183304724363193,0.9161058391887751,-8.151256536547734,-69.6289633958727,0.8929515167101891,7.505013269673399,0.6976338514123195,4.383362764984993,8.271858546312597,73.57575502539875,82.15070042,0.10438067296762382,0.07610360586802349,0.035921296035132826
g6-bx,0,y,4.121194326826172,0.2373318204656046,16.31947115000048,0.9375327805996476,6.145988263876339,-49.715804757993155,0.8546744180361344,-6.764529783420949,0.9161058391887857,6.421239978753333,-51.94235644156188,0.8929515167101837,-7.067483245627655,0.6976338514123207,4.383362764985,-7.126653530083198,54.886614802207774,75.69991741,0.2749448522521476,0.07610360586802352,0.0359212960351328
bo6-b3,2,y,-0.2682880842683789,1.1251333223508404,36.2991257,0.9181409555164529,-21.608681009455623,-1039.2972310932828,0.4371045193042287,20.98128488101524,0.9036244488729173,-22.731823324989005,-1093.3162014388934,0.4598236561977131,22.071817379218967,0.6964751224068394,4.376082255922757,23.7312473756308,1158.1986119130065,1507.94492,0.23193573150337177,0.07985224473802116,0.035807722894172674
bo6-b4,4,y,0.3702011726129102,0.29135104008968865,36.2991257,0.9153918152637255,-5.742169119193345,-69.25921520154381,0.437104519304229,5.114772990752971,0.9036244488730677,-6.040626628834129,-72.85906265633835,0.4598236561976751,5.380620683064152,0.6964751224068446,4.37608225592279,6.049518321207703,77.18285444119002,96.02399009,0.19621279673080477,0.07985224473802123,0.035807722894172424
bo7-b4,24,y,0.15816796908838868,0.27656384182410526,36.29913299999998,0.9371310379819249,4.743294233050185,-63.42658233308616,0.4163449049853216,-5.372411794203545,0.9244045139959642,4.9334307518670775,-65.9690578728148,0.4330342282639565,-5.587766698624856,0.6969528531883212,4.379083926949751,-5.566970258811255,69.81102387021303,94.62107812,0.26220430735657496,0.07999983025478678,0.035583399782754835
bo7-b3,26,y,-0.3431298829600391,1.0859878690028189,36.29913299999998,0.9343247087212094,19.85625331298469,-979.205252471371,0.41634490498532095,-20.485370874138066,0.9244045139960568,20.65219779717171,-1018.4570190209986,0.4330342282639341,-21.30653374392947,0.6969528531883227,4.37908392694976,-22.20118115698264,1077.7708452762388,1467.448984,0.26554799722002553,0.0799998302547868,0.035583399782754786
g7-bx,28,y,-0.623692382832461,0.25833070272181696,16.652648999999997,0.9798881837928675,-7.413580923200971,-59.098813840271646,0.8655787814887457,6.7684756841726825,0.976037059960315,-7.504035474313436,-59.8198900290364,0.8761398775289886,6.851059180066206,0.6970673379676842,4.37980325603334,7.593670637415109,63.28798985777571,83.18304179,0.23917196947967356,0.07870484750188965,0.033866795660453045
g8-bx,29,y,-1.0026884764802637,0.26634849558680235,16.652648999999997,0.9816210799407156,7.000598706778806,-62.96427706055046,0.865578781488746,-7.645703945807095,0.9760370599603038,7.0860143810798375,-63.732516522240516,0.8761398775289939,-7.738990675327071,0.6970673379676839,4.379803256033338,-7.842247530009946,67.42745359966781,82.54807074,0.18317347703930345,0.07870484750188965,0.03386679566045305
bi8-b3,31,y,-0.5256376959907813,0.6951757425508713,36.29913299999998,0.9581954737480722,-13.474052443558165,-393.09129066279564,0.44257516460793445,12.841500198666427,0.9453955402381512,-13.857709685020406,-404.28408665719024,0.45517695367654953,13.20714628495672,0.6972704373096138,4.3810793668344505,14.310683582875987,427.53463370808066,569.4414387,0.24920350952309325,0.08179583818481842,0.0346805265289636
bi8-b4,33,y,0.04728320305703125,0.1610749894662085,36.29913299999998,0.9640012469677561,2.5910423190421397,-21.008556779415763,0.44257516460793456,-3.2235945639338746,0.94539554023821,2.66481909501942,-21.606749860142408,0.4551769536765355,-3.3153824950830844,0.6972704373096157,4.381079366834462,-3.162062743385838,22.84936308885948,18.31358793,-0.24767266666677037,0.08179583818481845,0.03468052652896354
bi9-b4,53,y,0.3661728515304785,0.24856886161910297,36.27380999999991,0.9820895595552357,-2.4460524635433876,-53.69613421012275,0.10021291942032878,1.8004413400236177,0.9770723955520625,-2.4745851125164138,-54.322487475827664,0.10138188046879311,1.821443081203364,0.6970533841819413,4.379715581811781,2.2726155445521536,57.47361231789827,33.76432262,-0.7021994773813197,0.0801467181296233,0.03187674022228564
bi9-b3,54,y,4.183354490175781,0.19133725991855097,36.27380999999991,0.9853335337367062,1.189051935054922,-31.518711098275272,0.10021291942032894,-1.834663058574693,0.9770723955520673,1.2029219570512883,-31.886369737348932,0.10138188046879303,-1.856063988364338,0.6970533841819413,4.379715581811781,-1.618215406565737,33.73602604860528,51.74939767,0.3480885272571467,0.0801467181296233,0.03187674022228564
